symbol,date,1. open,2. high,3. low,4. close,5. volume
ADBE,2023-12-29,598.9200,601.6900,592.9400,596.6000,6580159
ADBE,2023-12-22,591.5200,612.7050,586.6200,598.7500,17010272
ADBE,2023-12-15,616.8800,633.8900,578.2000,584.6800,32409757
ADBE,2023-12-08,604.9100,610.2300,591.1700,610.0100,12270513
ADBE,2023-12-01,618.8000,628.6000,603.1800,612.4700,13203763
ADBE,2023-11-24,605.3100,624.3800,604.5000,619.4300,7308169
ADBE,2023-11-17,589.9800,613.7050,583.3600,602.6600,12488690
ADBE,2023-11-10,566.0000,598.1350,558.1750,597.2200,15067270
ADBE,2023-11-03,516.1100,567.0300,512.2400,563.6600,12205079
ADBE,2023-10-27,535.8100,548.0250,506.9150,508.1200,12918910
ADBE,2023-10-20,553.1800,568.1800,535.9500,540.9600,12687952
ADBE,2023-10-13,522.0000,574.4000,518.7500,548.7600,14569909
ADBE,2023-10-06,508.2400,531.3100,504.5500,526.6800,10788029
ADBE,2023-09-29,511.4500,518.5800,498.6955,509.9000,13422538
ADBE,2023-09-22,524.2300,548.8500,508.8300,512.9000,14216011
ADBE,2023-09-15,562.0000,565.4302,523.6160,528.8900,24071043
ADBE,2023-09-08,557.8800,570.2399,551.0750,560.3600,9004286
ADBE,2023-09-01,525.7000,569.9800,523.9800,563.2100,11934752
ADBE,2023-08-25,510.2900,539.6700,510.2900,525.0600,11520210
ADBE,2023-08-18,506.7800,525.4900,503.9000,508.1300,10014031
ADBE,2023-08-11,530.0000,532.5800,506.3700,508.4500,10080001
ADBE,2023-08-04,541.8700,552.9400,522.1200,526.8800,13965466
ADBE,2023-07-28,520.0000,530.3200,510.4400,528.8700,12939300
ADBE,2023-07-21,513.0000,539.0000,512.3800,520.2300,21487806
ADBE,2023-07-14,485.2700,523.7850,485.1100,514.8300,14577363
ADBE,2023-07-07,486.3900,490.4200,475.0000,485.2700,8108605
ADBE,2023-06-30,483.0100,492.8100,479.0500,488.9900,14092453
ADBE,2023-06-23,485.6300,495.5500,472.3200,484.7200,18680285
ADBE,2023-06-16,463.7050,518.7400,459.4200,495.1800,42519286
ADBE,2023-06-09,433.0100,466.5900,417.7425,454.0000,24561904
ADBE,2023-06-02,429.9400,438.5308,410.7010,436.3700,19193089
ADBE,2023-05-26,371.2500,416.3600,361.7200,415.3900,23124910
ADBE,2023-05-19,337.3500,372.0800,333.0100,371.2500,16202912
ADBE,2023-05-12,348.0000,351.9950,331.8900,335.4500,14863908
ADBE,2023-05-05,376.5100,378.7200,332.8400,348.4000,21732151
ADBE,2023-04-28,376.5900,378.9500,357.2500,377.5600,11113185
ADBE,2023-04-21,379.6100,382.9950,374.4875,377.6700,8765196
ADBE,2023-04-14,375.4800,380.5700,368.3500,379.3800,9789364
